numOfModules;numOfMethodPerModules;numOfVisibleMethods;percentageVisibile;numOfInvisibleMethods;percentageInvisible;
0;0;0;0;0;0;
1;40;40;100;0;0;
2;6;1;16;5;83;
3;5;2;40;3;60;
4;1;1;100;0;0;
