numOfModules;numOfMethodPerModules;numOfVisibleMethods;percentageVisibile;numOfInvisibleMethods;percentageInvisible;
0;0;0;0;0;0;
1;84;84;100;0;0;
3;1;1;100;0;0;
4;1;1;100;0;0;
5;1;1;100;0;0;
