id;NumberOfModules;NumberOfFragments;EvaluationTime;ModuleConfiguration;
23;8;122;2;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Benchmark + Base + Alg_Shortest + Alg_Cycle;
24;28;218;6;SearchAlg_BFS + Weighted + SearchAlg + Prog + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - GN_OnlyNeighbors -> G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( GN_OnlyNeighbors -> G_NoEdges -> GEN_Edges );
25;8;128;1;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Benchmark + Base + Alg_MSTPrim + Alg_Cycle;
26;12;159;3;SearchAlg_BFS + Weighted + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Benchmark + Alg_Number + Alg_Cycle + Alg_Connected + ( Base -> GN_OnlyNeighbors );
27;9;104;1;SearchAlg + Weighted + Edges_Directed + Alg_Shortest + Alg_Number + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
28;15;148;3;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg_BFS + SearchAlg + Prog + Edges_Directed + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTKruskal + Alg_Cycle;
29;23;180;5;SearchAlg_DFS + Weighted + SearchAlg + Prog + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_Cycle + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( G_NoEdges -> GEN_Edges );
30;21;195;5;SearchAlg_DFS + Weighted + SearchAlg_BFS + SearchAlg + Prog + G_NoEdges#Weighted + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> GEN_Edges );
31;8;119;1;SearchAlg_SearchBase + Weighted + SearchAlg + G_NoEdges#Weighted + Alg_Shortest + Alg_Cycle + ( Base -> G_NoEdges );
32;11;157;1;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Prog + G_NoEdges#Weighted + Benchmark + Alg_Number + Alg_MSTKruskal + ( Base -> G_NoEdges );
33;15;164;3;SearchAlg + Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Undirected + Benchmark + Alg_MSTPrim + Alg_MSTKruskal + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
34;13;141;2;SearchAlg + Weighted + Prog + Edges_Undirected + Benchmark + Alg_Transpose + Alg_MSTPrim + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
35;12;147;2;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Benchmark + Base + Alg_Number + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( Edges_Directed -> Edges_Undirected );
36;7;105;1;SearchAlg + Weighted + G_NoEdges#Weighted + Edges_Directed + Alg_Number + ( Base -> G_NoEdges );
37;21;193;4;SearchAlg_DFS + Weighted + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTPrim + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
38;14;152;4;SearchAlg_DFS + Weighted + SearchAlg + G_NoEdges#Weighted + Benchmark + Alg_Transpose + Alg_Cycle + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> GEN_Edges );
