no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
106;getValue():BigInteger;0;0;0;invisible;1;0;0;
107;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
108;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
109;hashCode():int;0;0;0;invisible;1;0;0;
110;getString():String;0;0;0;invisible;1;0;0;
111;toString():String;0;0;0;invisible;1;0;0;
112;hashCode():int;0;0;0;invisible;1;0;0;
113;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
114;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
115;getTag():int;0;0;0;invisible;1;0;0;
116;getData():byte[];0;0;0;invisible;1;0;0;
117;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
118;equals(Object):boolean;0;0;0;invisible;1;0;0;
119;hashCode():int;0;0;0;invisible;1;0;0;
120;readIndefiniteLengthFully():byte[];0;0;0;invisible;1;0;0;
121;buildConstructedOctetString():BERConstructedOctetString;0;0;0;invisible;1;0;0;
122;readObject():DERObject;0;0;0;invisible;1;0;0;
123;readLength():int;0;0;0;invisible;1;0;0;
124;readFully(byte[]):void;0;0;0;invisible;1;0;0;
125;buildObject(int,byte[]):DERObject;0;0;0;invisible;1;0;0;
126;readObject():DERObject;0;0;0;invisible;1;0;0;
127;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
128;readLength():int;0;0;0;invisible;1;0;0;
129;readFully(byte[]):void;0;0;0;invisible;1;0;0;
130;buildObject(int,int,int):DERObject;0;0;0;invisible;1;0;0;
131;buildEncodableVector():ASN1EncodableVector;0;0;0;invisible;1;0;0;
132;buildDEREncodableVector(DefiniteLengthInputStream):ASN1EncodableVector;0;0;0;invisible;1;0;0;
133;readObject():DERObject;0;0;0;invisible;1;0;0;
134;getOctetStream():InputStream;0;0;0;invisible;1;0;0;
135;parser():ASN1OctetStringParser;0;0;0;invisible;1;0;0;
136;getOctets():byte[];0;0;0;invisible;1;0;0;
137;hashCode():int;0;0;0;invisible;1;0;0;
138;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
139;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
140;toString():String;0;0;0;invisible;1;0;0;
141;writeObject(Object):void;0;0;0;invisible;1;0;0;
142;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
143;writeLength(int):void;0;0;0;invisible;1;0;0;
144;writeEncoded(int,byte[]):void;0;0;0;invisible;1;0;0;
145;writeEncodedHigh(int,int,byte[]):void;0;0;0;invisible;1;0;0;
146;writeNull():void;0;0;0;invisible;1;0;0;
147;write(byte[]):void;0;0;0;invisible;1;0;0;
